Question:,Drug not to take:,,,,,,,,,,,,
Are you pregnant or planning to become pregnant?,Tofacitinib,Etrasimod,Ozanimod,Risankizumab,Upadacitinib,,,,,,,,
Are you breast feeding?,Tofacitinib,Etrasimod,Ozanimod,Risankizumab,Upadacitinib,,,,,,,,
Do you have kidney issues?,"AMINOSALICYLATES (5-ASA)- (Delzicol, Canasa, Asacol HD, sfRowasa, Pentasa, Lialda,Apriso, others)",Monoconal antibody,Azathioprine,mercaptopurine,,,,,,,,,
Are you over 65?,Tofacitinib,,,,,,,,,,,,
Are you under 6?,Adalimumab,Infliximab,,,,,,,,,,,
Are you under 16?,Etrasimod,,,,,,,,,,,,
Allergy to ?,,,,,,,,,,,,,
Allergy to ?,,,,,,,,,,,,,
"Are you planning to take live vaccines (Measles, Rotavirus, small pox, chicken pox, yellow fever, etc)?",Tofacitinib,Adalimumab,Azathioprine,mercaptopurine,Filgotinib,Golimumab,Infliximab,Methotrexate,Mirikizumab,Risankizumab,Upadacitinib,Ustekinumab,Vedolizumab
Do you have mild Crohn’s?,Biologics,small molecule medicine,,,,,,,,,,,
Do you have mild UC?,Biologics,small molecule medicine,Mirikizumab,,,,,,,,,,
Do you have Crohn's?,Etrasimod,Filgotinib,Mirikizumab,Ozanimod,,,,,,,,,
Do you have UC?,Methotrexate,Golimumab,,,,,,,,,,,
Is this the first treatment?,Mirikizumab,Vedolizumab,,,,,,,,,,,